key;fr;en
L'entreprise;L'entreprise;The company
Dernières actualités;Dernières actualités;Last news
Lire;Lire;Read more
Informations financières et réglementées;Informations financières et réglementées;Financial and regulated information
Année en cours;Année en cours;This year
Voir;Voir;See
Archives;Archives;Archives
Action;Action;Shares
Chiffres clés;Chiffres clés;Key figures
Nos marques;Nos marques;Our brands
Innovation & développement de solutions audio numériques.;Innovation & développement de solutions audio numériques.;Innovation and development of digital audio solutions.
Accessoires de jeu pour PC & consoles pour joueurs expérimentés et occasionnels.;Accessoires de jeu pour PC & consoles pour joueurs expérimentés et occasionnels.;Gaming accessories for PC and consoles, for experienced and casual gamers.
Gamme de solutions DJ pour tous vos équipements connectés.;Gamme de solutions DJ pour tous vos équipements connectés.;A range of DJ solutions for all your connected devices.
© 2020 Guillemot Corporation S.A. Tous droits réservés.;© 2020 Guillemot Corporation S.A. Tous droits réservés.;© 2020 Guillemot Corporation S.A. All rights reserved.
Contactez nous;Contactez nous;Contact us
Conditions d'utilisation;Conditions d'utilisation;Terms of use
Mentions légales;Mentions légales;Privacy policy
textFormulaireContact;Ce formulaire de contact est réservé à une demande qui concerne : soit notre communication financière, soit le recrutement, soit les données personnelles. Il ne pourra être donné aucune suite à une demande qui concerne tout autre sujet.;The contact information below is reserved for queries of an institutional nature. Please note that technical/commercial queries sent to this address will not receive a reply.
Message envoyé.;Message envoyé.;Message sent.
Recaptcha invalide.;Recaptcha invalide.;Recaptcha incorrect.
Les fichiers sont trop volumineux. (Taille limite : 10 Mo);Les fichiers sont trop volumineux. (Taille limite : 10 Mo);Files are too large. (Size limit : 10 Mb)
Contact;Contact;Contact
Nom;Nom;Last name
Votre nom;Votre nom;Your lastname
Prénom;Prénom;First name
Votre prénom;Votre prénom;Your firstname
Adresse e-mail;Adresse e-mail;E-mail address
Votre adresse e-mail;Votre adresse e-mail;Your e-mail address
Saisissez votre pays;Saisissez votre pays;Choose your country
Sujet de votre demande;Sujet de votre demande;Subject of your request
Financier;Financier;Financial
Recrutement;Recrutement;Recruitment
Données personnelles;Données personnelles;Personal data
TextDonnéePersonne;"Les informations recueillies à partir de ce formulaire de contact sont nécessaires aux traitements de vos demandes. Guillemot Corporation S.A. est le responsable de ces traitements. Les informations seront enregistrées et transmises aux personnes habilitées des services en charge de ces traitements.	Vous disposez de droits sur les données personnelles vous concernant (droit d'accès, de	rectification, d’opposition, d’effacement, de portabilité, de limitation) que vous pouvez exercer en utilisant ce formulaire de contact.";The information collected via this contact form is required for processing your requests. Guillemot Corporation S.A. is responsible for this processing. The information will be saved and shared with the individuals responsible for the services in charge of this processing. You have rights with regard to the personal data relating to you (the right to access, correct, oppose or delete said data, along with the rights of portability and limitation), which you may exercise by using this contact form.
Pour en savoir plus, vous pouvez consulter notre;Pour en savoir plus, vous pouvez consulter notre;For more information, please consult our
Politique en matière de protection de la vie privée;Politique en matière de protection de la vie privée;Privacy policy
J'accepte que les informations que j’envoie par ce formulaire de contact soient traitées;J'accepte que les informations que j’envoie par ce formulaire de contact soient traitées;I agree to the processing of the information that I am submitting via this contact form
Objet;Objet;Objet
Objet du message;Objet du message;Message object
Message;Message;Message
Parcourir;Parcourir;Browse
Taille limite à 10 Mo.;Taille limite à 10 Mo.;Size limit : 10 Mb
Envoyer;Envoyer;Send
fichiers selectionnés.;fichiers selectionnés.;files selected
FR;FR;EN
Pas de contenu disponible;Pas de contenu disponible;No available content
Publié le;Publié le;Published on
Guillemot Corporation souhaite intégrer de nouveaux collaborateurs capables d’apporter leur aptitude à travailler en équipe dans un environnement dynamique;Guillemot Corporation souhaite intégrer de nouveaux collaborateurs capables d’apporter leur aptitude à travailler en équipe dans un environnement dynamique;Guillemot Corporation is looking for new colleagues with the ability to work as part of a team in a dynamic environment.
Nous rejoindre aujourd’hui, c’est prendre part à des projets ambitieux de dimension internationale et c’est adhérer à nos valeurs : culture d’ouverture aux besoins & usages, innovation, respect, coopération et solidarité.;Nous rejoindre aujourd’hui, c’est prendre part à des projets ambitieux de dimension internationale et c’est adhérer à nos valeurs : culture d’ouverture aux besoins & usages, innovation, respect, coopération et solidarité.;Joining us today means taking part in ambitious projects on an international scale, and sharing in our values: a culture of openness with regard to needs and uses, innovation, respect, collaboration and solidarity.
Première Page;Première Page;First Page
